0.026 0.023 0.027 0.046 0.037 0.045 0.119 0.120 0.028 16870.609
0.023 0.025 0.023 0.042 0.039 0.051 0.122 0.120 0.029 16900.635
0.024 0.025 0.024 0.045 0.037 0.048 0.121 0.119 0.027 16930.661
0.023 0.025 0.024 0.044 0.038 0.053 0.123 0.120 0.030 16960.687
0.022 0.024 0.024 0.045 0.037 0.047 0.122 0.124 0.031 16990.704
0.021 0.024 0.024 0.046 0.038 0.048 0.122 0.127 0.029 17020.730
0.026 0.023 0.024 0.043 0.038 0.048 0.117 0.125 0.029 17050.756
0.023 0.026 0.024 0.042 0.040 0.047 0.122 0.127 0.029 17080.758
0.026 0.023 0.024 0.046 0.037 0.050 0.122 0.128 0.028 17110.784
0.024 0.023 0.024 0.045 0.037 0.048 0.122 0.124 0.029 17140.811
0.024 0.021 0.024 0.046 0.039 0.049 0.120 0.122 0.029 17170.832
0.023 0.024 0.024 0.043 0.039 0.048 0.122 0.124 0.029 17200.858
0.023 0.027 0.024 0.042 0.037 0.046 0.122 0.124 0.029 17230.863
0.025 0.023 0.024 0.045 0.038 0.048 0.124 0.125 0.027 17260.890
0.026 0.025 0.027 0.043 0.039 0.052 0.120 0.126 0.029 17290.916
0.025 0.023 0.025 0.044 0.039 0.049 0.131 0.128 0.029 17320.940
0.023 0.023 0.023 0.045 0.039 0.047 0.123 0.129 0.029 17350.954
0.023 0.023 0.024 0.046 0.037 0.048 0.124 0.129 0.030 17380.980
