0.020 0.020 0.080 0.072 0.100 0.019 0.117 0.122 0.025 49248.533
0.021 0.020 0.068 0.077 0.108 0.020 0.122 0.119 0.025 49278.559
0.021 0.019 0.081 0.071 0.094 0.020 0.120 0.122 0.026 49308.585
0.020 0.019 0.069 0.074 0.090 0.020 0.122 0.122 0.027 49338.612
0.022 0.019 0.069 0.069 0.102 0.019 0.119 0.122 0.025 49368.631
0.019 0.019 0.061 0.071 0.092 0.020 0.130 0.121 0.026 49398.651
0.020 0.019 0.062 0.069 0.086 0.020 0.127 0.124 0.025 49428.677
0.019 0.019 0.071 0.074 0.086 0.021 0.128 0.126 0.025 49458.703
0.021 0.020 0.084 0.073 0.086 0.020 0.124 0.125 0.026 49488.729
0.021 0.019 0.071 0.074 0.092 0.020 0.121 0.126 0.026 49518.755
0.020 0.020 0.070 0.075 0.091 0.020 0.124 0.130 0.025 49548.782
0.021 0.019 0.064 0.075 0.098 0.020 0.125 0.126 0.026 49578.808
0.019 0.019 0.060 0.068 0.086 0.018 0.122 0.124 0.025 49608.818
0.020 0.018 0.063 0.073 0.095 0.018 0.121 0.126 0.027 49638.845
0.021 0.019 0.063 0.068 0.092 0.021 0.131 0.129 0.025 49668.867
0.019 0.018 0.080 0.073 0.090 0.021 0.128 0.130 0.027 49698.894
0.021 0.020 0.064 0.073 0.085 0.019 0.124 0.131 0.026 49728.920
0.023 0.019 0.065 0.070 0.094 0.020 0.136 0.128 0.026 49758.946
