0.078 0.029 0.132 0.091 0.093 0.031 0.119 0.123 0.099 335419.906
0.081 0.029 0.125 0.094 0.099 0.031 0.124 0.124 0.098 335449.912
0.078 0.028 0.137 0.095 0.099 0.030 0.126 0.121 0.096 335479.938
0.084 0.028 0.126 0.096 0.095 0.032 0.123 0.126 0.091 335509.964
0.080 0.027 0.124 0.099 0.096 0.031 0.126 0.120 0.093 335539.972
0.081 0.028 0.123 0.094 0.097 0.032 0.131 0.127 0.095 335569.980
0.081 0.027 0.128 0.098 0.097 0.031 0.127 0.132 0.096 335599.987
0.088 0.028 0.135 0.103 0.100 0.032 0.124 0.129 0.098 335630.014
0.083 0.027 0.140 0.107 0.096 0.028 0.126 0.124 0.098 335660.024
0.082 0.029 0.135 0.102 0.102 0.032 0.126 0.124 0.095 335690.043
0.086 0.028 0.132 0.103 0.093 0.030 0.124 0.128 0.097 335720.069
0.081 0.028 0.137 0.097 0.096 0.031 0.131 0.132 0.096 335750.092
0.086 0.027 0.138 0.098 0.101 0.032 0.127 0.124 0.101 335780.115
0.081 0.027 0.137 0.093 0.099 0.029 0.131 0.124 0.107 335810.141
0.088 0.026 0.135 0.104 0.095 0.031 0.129 0.127 0.102 335840.151
0.081 0.030 0.129 0.094 0.095 0.032 0.133 0.131 0.100 335870.177
0.090 0.028 0.121 0.098 0.099 0.031 0.135 0.130 0.105 335900.203
0.082 0.026 0.135 0.094 0.098 0.032 0.131 0.128 0.109 335930.207
