0.024 0.066 0.059 0.079 0.086 0.024 0.123 0.117 0.027 77214.585
0.023 0.063 0.065 0.075 0.082 0.023 0.124 0.119 0.025 77244.610
0.021 0.077 0.066 0.079 0.086 0.023 0.124 0.119 0.025 77274.629
0.023 0.075 0.063 0.076 0.085 0.024 0.124 0.123 0.026 77304.655
0.023 0.073 0.077 0.086 0.085 0.023 0.124 0.127 0.026 77334.672
0.025 0.080 0.061 0.083 0.078 0.023 0.129 0.120 0.027 77364.686
0.021 0.067 0.062 0.089 0.081 0.023 0.128 0.122 0.026 77394.703
0.021 0.062 0.065 0.082 0.081 0.022 0.120 0.124 0.025 77424.729
0.021 0.074 0.062 0.082 0.077 0.021 0.125 0.121 0.028 77454.755
0.021 0.070 0.059 0.084 0.081 0.023 0.126 0.127 0.029 77484.781
0.021 0.072 0.063 0.080 0.081 0.023 0.126 0.127 0.026 77514.798
0.022 0.073 0.059 0.083 0.086 0.024 0.124 0.129 0.026 77544.824
0.024 0.074 0.062 0.080 0.088 0.024 0.126 0.123 0.025 77574.833
0.023 0.065 0.060 0.081 0.089 0.025 0.125 0.124 0.026 77604.844
0.023 0.076 0.061 0.086 0.085 0.023 0.129 0.126 0.026 77634.855
0.024 0.077 0.061 0.082 0.084 0.023 0.132 0.127 0.027 77664.882
0.023 0.079 0.063 0.080 0.083 0.022 0.131 0.128 0.027 77694.904
0.021 0.074 0.064 0.081 0.083 0.024 0.129 0.129 0.026 77724.912
