0.091 0.012 0.016 0.061 0.173 0.041 0.114 0.122 0.081 364126.525
0.090 0.013 0.016 0.059 0.172 0.040 0.124 0.127 0.086 364156.551
0.090 0.014 0.016 0.058 0.177 0.040 0.123 0.123 0.080 364186.577
0.093 0.013 0.018 0.062 0.168 0.041 0.119 0.120 0.081 364216.582
0.091 0.014 0.015 0.063 0.171 0.043 0.113 0.124 0.082 364246.582
0.095 0.014 0.015 0.059 0.171 0.043 0.113 0.122 0.081 364276.608
0.094 0.013 0.017 0.062 0.174 0.043 0.125 0.126 0.079 364306.635
0.095 0.013 0.018 0.062 0.171 0.041 0.130 0.124 0.082 364336.644
0.093 0.013 0.015 0.064 0.170 0.042 0.128 0.129 0.084 364366.646
0.095 0.014 0.018 0.060 0.169 0.045 0.120 0.127 0.078 364396.672
0.094 0.013 0.019 0.062 0.165 0.044 0.126 0.128 0.080 364426.698
0.098 0.013 0.017 0.062 0.170 0.043 0.119 0.128 0.082 364456.724
0.093 0.014 0.015 0.066 0.174 0.048 0.121 0.126 0.088 364486.737
0.095 0.014 0.018 0.062 0.168 0.044 0.117 0.124 0.081 364516.747
0.093 0.014 0.017 0.063 0.171 0.044 0.126 0.122 0.082 364546.773
0.094 0.013 0.018 0.063 0.170 0.048 0.126 0.127 0.085 364576.799
0.100 0.014 0.017 0.062 0.173 0.044 0.124 0.130 0.079 364606.825
0.095 0.013 0.015 0.063 0.176 0.044 0.134 0.125 0.085 364636.851
