0.151 0.052 0.059 0.059 0.155 0.067 0.124 220035.888
0.134 0.052 0.062 0.053 0.156 0.068 0.126 220065.909
0.144 0.049 0.056 0.055 0.150 0.072 0.124 220095.929
0.141 0.051 0.057 0.056 0.156 0.065 0.128 220125.943
0.153 0.051 0.059 0.056 0.156 0.065 0.129 220155.952
0.150 0.051 0.070 0.054 0.157 0.064 0.127 220185.979
0.158 0.049 0.057 0.060 0.151 0.067 0.128 220215.987
0.147 0.052 0.060 0.056 0.147 0.072 0.126 220246.014
0.140 0.053 0.056 0.062 0.156 0.074 0.122 220276.015
0.156 0.051 0.063 0.057 0.155 0.076 0.125 220306.042
0.146 0.050 0.054 0.052 0.154 0.071 0.124 220336.049
0.152 0.051 0.056 0.063 0.151 0.072 0.126 220366.076
0.153 0.051 0.061 0.056 0.150 0.067 0.133 220396.103
0.147 0.050 0.062 0.057 0.158 0.065 0.127 220426.130
0.156 0.051 0.075 0.056 0.150 0.065 0.127 220456.149
0.152 0.052 0.060 0.056 0.153 0.063 0.134 220486.168
0.161 0.052 0.056 0.056 0.152 0.069 0.130 220516.195
0.161 0.052 0.062 0.059 0.148 0.063 0.128 220546.217
0.157 0.051 0.056 0.056 0.166 0.064 0.126 220576.232
