0.159 0.047 0.051 0.051 0.141 0.037 0.127 232605.392
0.162 0.049 0.050 0.046 0.142 0.037 0.128 232635.419
0.161 0.047 0.050 0.048 0.142 0.038 0.126 232665.446
0.155 0.047 0.048 0.049 0.140 0.038 0.130 232695.473
0.153 0.047 0.048 0.050 0.145 0.036 0.132 232725.480
0.154 0.045 0.046 0.049 0.142 0.035 0.131 232755.492
0.152 0.047 0.047 0.048 0.143 0.038 0.129 232785.512
0.163 0.047 0.050 0.051 0.143 0.037 0.131 232815.538
0.156 0.047 0.051 0.051 0.143 0.036 0.129 232845.565
0.165 0.048 0.050 0.050 0.147 0.037 0.129 232875.592
0.158 0.047 0.053 0.049 0.146 0.036 0.130 232905.612
0.163 0.048 0.045 0.050 0.145 0.037 0.131 232935.614
0.168 0.048 0.050 0.048 0.147 0.038 0.127 232965.632
0.176 0.047 0.048 0.050 0.146 0.038 0.134 232995.659
0.160 0.047 0.045 0.048 0.145 0.038 0.133 233025.673
0.146 0.048 0.047 0.049 0.143 0.036 0.131 233055.687
0.153 0.047 0.048 0.049 0.147 0.037 0.139 233085.714
0.163 0.047 0.048 0.047 0.148 0.036 0.131 233115.741
0.168 0.048 0.049 0.048 0.148 0.035 0.135 233145.758
