0.144 0.134 0.031 0.067 0.041 0.102 0.120 310130.518
0.152 0.134 0.033 0.057 0.040 0.098 0.117 310160.531
0.166 0.142 0.034 0.056 0.041 0.097 0.117 310190.532
0.156 0.135 0.036 0.062 0.041 0.100 0.121 310220.546
0.160 0.138 0.033 0.057 0.041 0.100 0.124 310250.573
0.155 0.131 0.032 0.054 0.042 0.099 0.120 310280.600
0.144 0.125 0.030 0.057 0.041 0.099 0.122 310310.622
0.165 0.134 0.033 0.062 0.039 0.099 0.121 310340.623
0.155 0.138 0.033 0.055 0.039 0.099 0.128 310370.650
0.154 0.120 0.032 0.062 0.041 0.101 0.129 310400.658
0.148 0.133 0.036 0.055 0.039 0.098 0.128 310430.685
0.157 0.132 0.033 0.061 0.042 0.102 0.133 310460.712
0.150 0.146 0.031 0.056 0.041 0.099 0.132 310490.739
0.152 0.136 0.032 0.053 0.042 0.101 0.131 310520.766
0.157 0.136 0.033 0.058 0.041 0.102 0.122 310550.789
0.162 0.136 0.033 0.054 0.039 0.101 0.129 310580.816
0.145 0.130 0.030 0.061 0.041 0.100 0.131 310610.843
0.152 0.131 0.032 0.065 0.039 0.101 0.130 310640.858
0.155 0.138 0.033 0.055 0.041 0.102 0.128 310670.885
