0.138 0.166 0.021 0.098 0.047 0.024 0.121 129058.024
0.135 0.166 0.018 0.098 0.046 0.024 0.121 129088.030
0.142 0.181 0.020 0.105 0.049 0.024 0.121 129118.042
0.151 0.164 0.020 0.108 0.050 0.024 0.119 129148.054
0.144 0.168 0.021 0.106 0.051 0.025 0.123 129178.081
0.137 0.173 0.018 0.103 0.048 0.024 0.124 129208.093
0.145 0.168 0.019 0.113 0.047 0.024 0.121 129238.120
0.145 0.161 0.019 0.103 0.050 0.024 0.119 129268.146
0.139 0.163 0.019 0.103 0.050 0.023 0.130 129298.158
0.155 0.162 0.021 0.102 0.049 0.024 0.129 129328.185
0.146 0.162 0.020 0.097 0.050 0.024 0.124 129358.207
0.161 0.161 0.021 0.103 0.048 0.024 0.134 129388.220
0.159 0.177 0.020 0.109 0.049 0.025 0.128 129418.247
0.154 0.174 0.021 0.098 0.047 0.022 0.127 129448.274
0.151 0.159 0.021 0.111 0.048 0.024 0.131 129478.274
0.154 0.174 0.022 0.101 0.050 0.023 0.132 129508.292
0.152 0.176 0.020 0.103 0.048 0.024 0.128 129538.304
0.148 0.162 0.021 0.107 0.050 0.023 0.131 129568.330
0.158 0.171 0.023 0.109 0.047 0.023 0.129 129598.357
