0.014 0.155 0.016 0.122 0.033 0.108 0.087 169776.847
0.016 0.156 0.015 0.118 0.033 0.109 0.090 169806.873
0.013 0.152 0.015 0.117 0.033 0.111 0.091 169836.899
0.013 0.149 0.014 0.123 0.033 0.113 0.091 169866.926
0.011 0.156 0.015 0.120 0.034 0.114 0.096 169896.953
0.013 0.144 0.016 0.125 0.034 0.112 0.093 169926.980
0.014 0.150 0.015 0.129 0.036 0.110 0.088 169957.004
0.016 0.156 0.016 0.124 0.034 0.111 0.090 169987.031
0.012 0.151 0.015 0.119 0.036 0.112 0.094 170017.058
0.014 0.155 0.014 0.119 0.037 0.108 0.092 170047.062
0.017 0.161 0.016 0.124 0.036 0.110 0.093 170077.088
0.013 0.158 0.015 0.131 0.036 0.113 0.093 170107.115
0.013 0.158 0.015 0.122 0.038 0.114 0.098 170137.117
0.009 0.152 0.015 0.122 0.039 0.114 0.097 170167.144
0.009 0.156 0.015 0.123 0.038 0.116 0.095 170197.171
0.017 0.156 0.016 0.129 0.039 0.113 0.098 170227.189
0.014 0.156 0.018 0.127 0.037 0.113 0.098 170257.216
0.017 0.162 0.017 0.130 0.039 0.115 0.096 170287.227
0.013 0.159 0.017 0.125 0.039 0.117 0.098 170317.243
