0.082 0.177 0.080 0.187 0.173 0.158 0.128 48814.723
0.083 0.194 0.042 0.180 0.167 0.191 0.130 48844.750
0.088 0.213 0.052 0.194 0.170 0.169 0.136 48874.764
0.082 0.242 0.081 0.176 0.171 0.175 0.136 48904.791
0.080 0.172 0.047 0.173 0.178 0.170 0.135 48934.808
0.081 0.186 0.051 0.184 0.174 0.185 0.139 48964.835
0.083 0.233 0.076 0.182 0.176 0.184 0.140 48994.862
0.079 0.190 0.035 0.181 0.170 0.187 0.141 49024.889
0.081 0.275 0.053 0.206 0.170 0.175 0.145 49054.892
0.088 0.163 0.038 0.193 0.169 0.166 0.142 49084.919
0.090 0.159 0.083 0.185 0.174 0.161 0.154 49114.924
0.078 0.175 0.059 0.193 0.169 0.179 0.145 49144.951
0.090 0.193 0.077 0.186 0.179 0.167 0.142 49174.967
0.089 0.219 0.047 0.196 0.172 0.188 0.150 49204.981
0.081 0.197 0.058 0.185 0.170 0.177 0.153 49234.993
0.081 0.178 0.059 0.193 0.172 0.161 0.148 49265.010
0.078 0.175 0.049 0.186 0.182 0.170 0.151 49295.036
0.081 0.179 0.050 0.186 0.171 0.183 0.160 49325.042
0.080 0.174 0.062 0.183 0.181 0.171 0.149 49355.053
